order,id,date,time,title,url,visitCount,typedCount,transition
0,140,12/29/2021,13:24:58,tensorflow - YouTube,https://www.youtube.com/results?search_query=tensorflow,5,0,link
1,144,12/29/2021,13:24:57,Train a custom object detection model using your data - YouTube,https://www.youtube.com/watch?v=-ZyFYniGUsw,1,0,link
2,140,12/29/2021,13:24:56,tensorflow - YouTube,https://www.youtube.com/results?search_query=tensorflow,5,0,link
3,143,12/29/2021,13:24:55,TensorFlow - YouTube,https://www.youtube.com/c/TensorFlow,1,0,link
4,140,12/29/2021,13:24:53,tensorflow - YouTube,https://www.youtube.com/results?search_query=tensorflow,5,0,link
5,142,12/29/2021,13:24:52,TensorFlow In 10 Minutes | TensorFlow Tutorial For Beginners | Deep Learning & TensorFlow | Edureka - YouTube,https://www.youtube.com/watch?v=tXVNS-V39A0,1,0,link
6,140,12/29/2021,13:24:51,tensorflow - YouTube,https://www.youtube.com/results?search_query=tensorflow,5,0,link
7,141,12/29/2021,13:24:50,TensorFlow 2.0 Complete Course - Python Neural Networks for Beginners Tutorial - YouTube,https://www.youtube.com/watch?v=tPYj3fFJGjk,1,0,link
8,140,12/29/2021,13:24:49,tensorflow - YouTube,https://www.youtube.com/results?search_query=tensorflow,5,0,link
9,137,12/29/2021,13:24:41,buy refrigerator - YouTube,https://www.youtube.com/results?search_query=buy+refrigerator,3,0,link
10,139,12/29/2021,13:24:40,Best Refrigerator in India 2021 ⚡ UNDER 25000 ⚡ Best Double Door Refrigerator - YouTube,https://www.youtube.com/watch?v=KC6D7BczQOI,1,0,link
11,137,12/29/2021,13:24:39,buy refrigerator - YouTube,https://www.youtube.com/results?search_query=buy+refrigerator,3,0,link
12,138,12/29/2021,13:24:35,REFRIGERATOR BUYING GUIDE 🔥🔥🔥 BEST REFRIGERATOR IN INDIA 2021 🔥🔥🔥 TOP 5 REFRIGERATORS IN INDIA - YouTube,https://www.youtube.com/watch?v=m6iz4q9pTbU,1,0,link
13,137,12/29/2021,13:24:33,buy refrigerator - YouTube,https://www.youtube.com/results?search_query=buy+refrigerator,3,0,link
14,136,12/29/2021,13:24:33,YouTube,https://www.youtube.com/,3,0,link
15,136,12/29/2021,13:24:33,YouTube,https://www.youtube.com/,3,0,link
16,136,12/29/2021,13:24:25,YouTube,https://www.youtube.com/,3,0,typed
17,134,12/29/2021,13:24:04,Inbox - singhbalsher10@gmail.com - Gmail,https://mail.google.com/mail/u/2/#inbox,2,0,link
18,135,12/29/2021,13:24:02,Security alert - singhbalsher10@gmail.com - Gmail,https://mail.google.com/mail/u/2/#inbox/FMfcgzGmtFBWZVWmWsKdspkJNJqpVhpq,1,0,link
19,134,12/29/2021,13:24:00,Inbox - singhbalsher10@gmail.com - Gmail,https://mail.google.com/mail/u/2/#inbox,2,0,link
